あの…	um...	あの…
今	now	いま
英語	English (language)	えいご
ええ	yes	ええ
学生	student	がくせい
～語	language	～ご
高校	high school	こうこう
午後	P.M.	ごご
午前	A.M.	ごぜん
～歳	...years old	～さい
～さん	Mr./Ms....	～さん
～時	o'clock	～じ
～人　（アメリカ人）	people	～じん
専攻	major	せんこう
先生	teacher; Professor ...	せんせい
そうです	That's right.	そうです
そうですか	I see.; Is that so?	そうですか
大学	college; university	だいがく
電話	telephone	でんわ
友達	friend	ともだち
名前	name	なまえ
何	what	なん／なに
日本	Japan	にほん
～年生	...year student	～ねんせい
はい	yes	はい
半	half	はん
番号	number	ばんごう
留学生	international student	りゅうがくせい
私	I	わたし
アメリカ	U.S.A.	アメリカ
イギリス	Britain	イギリス
オーストラリア	Australia	オーストラリア
韓国	Korea	かんこく
スウェーデン	Sweden	スウェーデン
中国	China	ちゅうごく
科学	science	かがく
アジア研究	Asian studies	アジアけんきゅう
経済	economics	けいざい
国際関係	international relations	こくさいかんけい
コンピューター	computer	コンピューター
人類学	anthropology	じんるいがく
政治	politics	せいじ
ビジネス	business	ビジネス
文学	literature	ぶんがく
歴史	history	れきし
仕事	job; work; occupation	しごと
医者	doctor	いしゃ
会社員	office worker	かいしゃいん
高校生	high school student	こうこうせい
主婦	housewife	しゅふ
大学院生	graduate student	だいがくいんせい
大学生	college student	だいがくせい
弁護士	lawyer	べんごし
お母さん	mother	おかあさん
お父さん	father	おとうさん
お姉さん	older sister	おねえさん
お兄さん	older brother	おにいさん
妹	younger sister	いもうと
弟	younger brother	おとうと
これ	this one	これ
それ	that one	それ
あれ	that one (over there)	あれ
どれ	which one	どれ
この	this ...	この
その	that ...	その
あの	that ... (over there)	あの
どの	which ...	どの
ここ	here	ここ
そこ	there	そこ
あそこ	over there	あそこ
どこ	where	どこ
誰	who	だれ
美味しい	delicious	おいしい
魚	fish	さかな
豚カツ	pork cutlet	とんかつ
肉	meat	にく
メニュー	menu	メニュー
野菜	vegetable	やさい
鉛筆	pencil	えんぴつ
傘	umbrella	かさ
鞄	bag	かばん
靴	shoes	くつ
財布	wallet	さいふ
ジーンズ	jeans	ジーンズ
辞書	dictionary	じしょ
自転車	bicycle	じてんしゃ
新聞	newspaper	しんぶん
Ｔシャツ	T-shirt	Ｔシャツ
時計	watch; clock	とけい
ノート	notebook	ノート
ペン	pen	ペン
帽子	hat; cap	ぼうし
本	book	ほん
喫茶店	cafe	きっさてん
銀行	bank	ぎんこう
トイレ	toilet; restroom	トイレ
図書館	library	としょかん
郵便局	post office	ゆうびんきょく
いくら	how much	いくら
～円	...yen	～えん
高い	expensive; high	たかい
いらっしゃいませ	Welcome (to our store)	いらっしゃいませ
（～を）お願いします	..., please.	（～を）おねがいします
（～を）下さい	Please give me...	（～を）ください
じゃあ	then...; if that is the case,...	じゃあ
（～を）どうぞ	Please.; Here it is.	（～を）どうぞ
どうも	Thank you.	どうも
映画	movie	えいが
音楽	music	おんがく
雑誌	magazine	ざっし
スポーツ	sports	スポーツ
デート	date (romantic, not calendar)	デート
テニス	tennis	テニス
テレビ	TV	テレビ
アイスクリーム	ice cream	アイスクリーム
朝御飯	breakfast	あさごはん
お酒	sake; alcohol	おさけ
お茶	green tea	おちゃ
コーヒー	coffee	コーヒー
晩御飯	dinner	ばんごはん
ハンバーガー	hamburger	ハンバーガー
昼御飯	lunch	ひるごはん
水	water	みず
家	home; house	いえ
うち	home; house; my place	うち
学校	school	がっこう
朝	morning	あさ
明日	tomorrow	あした
いつ	when	いつ
今日	today	きょう
～ごろ	at about …	～ごろ
今晩	tonight	こんばん
週末	weekend	しゅうまつ
土曜日	Saturday	どようび
日曜日	Sunday	にちようび
毎日	every day	まいにち
毎晩	every night	まいばん
行く	to go	いく
帰る	to go back; to return	かえる
聞く	to listen; to hear; to ask	きく
飲む	to drink	のむ
話す	to speak; to talk	はなす
読む	to read	よむ
起きる	to get up	おきる
食べる	to eat	たべる
寝る	to sleep; to go to sleep	ねる
見る	to see; to look at; to watch	みる
来る	to come	くる
する （宿題をする）	to do	する
勉強する	to study	べんきょうする
いい	good	いい
早い	early	はやい
あまり+ negative	not much	あまり+ negative
全然&nbsp;+ negative	not at all	ぜんぜん + negative
大抵	usually	たいてい
ちょっと	a little	ちょっと
時々	sometimes	ときどき
よく	well; often; much	よく
そうですね	That's right.; Let me see.	そうですね
でも	but	でも
どうですか	How about...?; How is...?	どうですか
アルバイト	part-time job	アルバイト
買い物	shopping	かいもの
クラス	class	クラス
あなた	you	あなた
犬	dog	いぬ
お土産	souvenir	おみやげ
子供	child	こども
御飯	rice; meal	ごはん
写真	picture; photograph	しゃしん
机	desk	つくえ
手紙	letter	てがみ
猫	cat	ねこ
パン	bread	パン
人	person	ひと
お寺	temple	おてら
公園	park	こうえん
スーパー	supermarket	スーパー
デパート	department store	デパート
バス停	bus stop	バスてい
病院	hospital	びょういん
ホテル	hotel	ホテル
本屋	bookstore	ほんや
町	town; city	まち
レストラン	restaurant	レストラン
昨日	yesterday	きのう
～時間	hours	～じかん
一時間	one hour	いちじかん
先週	last week	せんしゅう
時	when...; at the time of...	とき
月曜日	Monday	げつようび
火曜日	Tuesday	かようび
水曜日	Wednesday	すいようび
木曜日	Thursday	もくようび
金曜日	Friday	きんようび
会う	to meet; to see (a person)	あう
ある	there is ...	ある
買う	to buy	かう
書く	to write	かく
撮る	to take (a picture)	とる
待つ	to wait	まつ
分かる	to understand	わかる
いる	(a person) is in ...; stays at ...	いる
～ぐらい	about (approximate measurement)	～ぐらい
ごめんなさい	I'm sorry.	ごめんなさい
だから	so; therefore	だから
たくさん	many; a lot	たくさん
～と	together with (a person)	～と
どうして	why	どうして
一人で	alone	ひとりで
もしもし	Hello? (used on the phone)	もしもし
右	right	みぎ
左	left	ひだり
前　（車の前）	front	まえ
後ろ	back	うしろ
中	inside	なか
上	on	うえ
下	under	した
近く	near; nearby	近く
隣	next; neighboring	となり
間	between	あいだ
海	sea	うみ
切手	postal stamps	きって
切符	ticket	きっぷ
サーフィン	surfing	サーフィン
宿題	homework	しゅくだい
食べ物	food	たべもの
誕生日	birthday	たんじょうび
テスト	test	テスト
天気	weather	てんき
飲み物	drink	のみもの
葉書	postcard	はがき
バス	bus	バス
飛行機	airplane	ひこうき
部屋	room	へや
僕	I (used by men)	ぼく
休み	holiday; day off; absence	やすみ
旅行	travel	りょこう
新しい	new	あたらしい
暑い	hot (weather)	あつい
熱い	hot (objects)	あつい
忙しい	busy (people/days)	いそがしい
大きい	large	おおきい
面白い	interesting; funny	おもしろい
かっこいい	good-looking (conjugates like いい)	かっこいい
怖い	frightening	こわい
寒い	cold (weather-not used for objects)	さむい
楽しい	fun	たのしい
小さい	small	ちいさい
つまらない	boring	つまらない
古い	old (thing - not used for people)	ふるい
難しい	difficult	むずかしい
やさしい	easy (problem); kind (person)	やさしい
安い	inexpensive; cheap (thing)	やすい
嫌い	disgusted with; to dislike	きらい
きれい	beautiful; clean	きれい
元気	healthy; energetic	げんき
静か	quiet	しずか
好き	fond of; to like	すき
大嫌い	to hate	だいきらい
大好き	very fond of; to love	だいすき
賑やか	lively	にぎやか
暇	not busy; to have a lot of free time	ひま
泳ぐ	to swim	およぐ
乗る	to ride; to board	のる
やる　（一緒にやりましょうか））	to do; to perform	やる
出かける	to go out	でかける
一緒に	together	いっしょに
それから	and then	それから
大丈夫	It's okay.; Not to worry.; Everything is under control.	だいじょうぶ
とても	very	とても
どんな	what kind of...	どんな
～枚	[counter for flat objects]	～まい
～まで	to (a place); as far as (a place); till (a time)	～まで
お金	money	おかね
お風呂	bath	おふろ
漢字	kanji; Chinese character	かんじ
教科書	textbook	きょうかしょ
今週	this week	こんしゅう
ＣＤ（シーティー）	CD	ＣＤ（シーティー）
市民病院	Municipal Hospital	しみんびょういん
シャワー	shower	シャワー
次	next	つぎ
電気	electricity	でんき
電車	train	でんしゃ
荷物	baggage	にもつ
ページ	page	ページ
窓	window	まど
夜	night	よる
来週	next week	らいしゅう
来年	next year	らいねん
大変	tough (situation)	たいへん
遊ぶ	to play; to spend time pleasantly	あそぶ
急ぐ	to hurry	いそぐ
お風呂に入る	to take a bath	おふろにはいる
返す	to return (a thing)	かえす
消す	to turn off; to erase	けす
死ぬ	to die	しぬ
座る	to sit down	すわる
立つ	to stand up	たつ
たばこを吸う	to smoke	たばこをすう
使う	to use	つかう
手伝う	to help	てつだう
入る	to enter	はいる
持つ	to carry; to hold	もつ
休む	to be absent (from...); to rest	やすむ
開ける	to open (something)	あける
教える	to teach; to instruct	おしえる
降りる	to get off	おりる
借りる	to borrow	かりる
閉める	to close (something)	しめる
シャワーを浴びる	to take a shower	シャワーをあびる
点ける	to turn on	つける
電話をかける	to make a phone call	でんわをかける
忘れる	to forget; to leave behind	わすれる
連れてくる	to bring (a person)	つれてくる
持ってくる	to bring (a thing)	もってくる
後で	later on	あとで
遅く	(do something) late	おそく
～から　（だから）	because ...	～から
結構です	That would be fine.; That wouldn't be necessary.	けっこうです
すぐ	right away	すぐ
本当ですか	Really?	ほんとうですか
ゆっくり	slowly; leisurely; unhurriedly	ゆっくり
姉	(my) older sister	あね
アパート	apartment	アパート
歌	song	うた
おじいさん	grandfather; old man	おじいさん
男の人	man	おとこのひと
おばあさん	grandmother; old woman	おばあさん
女の人	woman	おんなのひと
会社	company	かいしゃ
家族	family	かぞく
髪	hair	かみ
兄弟	brothers and sisters	きょうだい
口	mouth	くち
国	country; place of origin	くに
車	car	くるま
ゲーム	game	ゲーム
コンビニ	convenience store	コンビニ
サークル	club activity	サークル
食堂	cafeteria; dining commons	しょくどう
父	(my) father	ちち
ＤＶＤ（ディーブイディー）	DVD	ＤＶＤ（ディーブイディー）
目	eye	め
眼鏡	glasses	めがね
頭がいい	bright; smart; clever	あたまがいい
可愛い	cute	かわいい
背が高い	tall (stature)	せがたかい
背が低い	short (stature)	せがひくい
長い	long	ながい
速い	fast	はやい
短い	short (length)	みじかい
親切	kind	しんせつ
便利	convenient	べんり
歌う	to sing	うたう
被る	to put on (a hat)	かぶる
知る	to get to know	しる
知っています	I know	しっています
知りません	I do not know	しりません
住む	to live	すむ
はく	to put on (items below your waist)	はく
太る	to gain weight	ふとる
太っています	to be on the heavy side	ふとっています
めがねをかける	to put on (glasses)	めがねをかける
着る	to put on (clothes above your waist)	きる
やせる	to lose weight	やせる
痩せています	to be thin	やせています
結婚する	to get married	けっこんする
～が	…, but	～が
何も	not… anything	なにも+ negative
～人　（五人）	[counter for people]	～にん
一人	one person	ひとり
二人	two people	ふたり
別に	nothing in particular	べつに+ negative
もちろん	of course	もちろん
よかったら	if you like	よかったら
明後日	the day after tomorrow	あさって
雨	rain	あめ
カメラ	camera	カメラ
カラオケ	karaoke	カラオケ
空気	air	くうき
今朝	this morning	けさ
黒板	blackboard	こくばん
今月	this month	こんげつ
天気予報	weather forecast	てんきよほう
所	place	ところ
トマト	tomato	トマト
夏	summer	なつ
何か	something	なにか
パーティー	party	パーティー
バーベキュー	barbecue	バーベキュー
箸	chopsticks	はし
冬	winter	ふゆ
ホームステイ	homestay; living with a local family	ホームステイ
毎週	every week	まいしゅう
来月	next month	らいげつ
上手	skillful; good at...	じょうず
下手	clumsy; poor at...	へた
有名	famous	ゆうめい
雨が降る	it rains	あめがふる
洗う	to wash	あらう
言う	to say	いう
要る	to need	いる
遅くなる	to be late	おそくなる
思う	to think	おもう
切る	to cut	きる
作る	to make	つくる
持っていく	to take (a thing)	もっていく
じろじろ見る	to stare (at ...)	じろじろみる
捨てる	to throw away	すてる
始める	to begin	はじめる
運転する	to drive	うんてんする
洗濯する	to do laundry	せんたくする
掃除する	to clean	そうじする
料理する	to cook	りょうりする
いつも	always	いつも
ううん	uh-uh; no	ううん
うん	uh-huh; yes	うん
乾杯	Cheers! (a toast)	かんぱい
残念（ですね）	That's too bad.	ざんねん（ですね）
～について	about…; concerning…	～について
まだ+ negative	not… yet	まだ+ negative
みんなで	all (of the people) together	みんなで
いい子	good child	いいこ
色	color	いろ
お弁当	boxed lunch	おべんとう
歌舞伎	Kabuki; traditional Japanese theatrical art	かぶき
ギター	guitar	ギター
去年	last year	きょねん
薬	medicine	くすり
薬を飲む	to take medicine	くすりをのむ
コンサート	concert	コンサート
今度	near future; this time; next time	こんど
作文	essay; composition	さくぶん
試験	exam	しけん
スキー	ski	スキー
先月	last month	せんげつ
単語	word; vocabulary	たんご
ピアノ	piano	ピアノ
病気	illness; sickness	びょうき
青い	blue	あおい
赤い	red	あかい
黒い	black	くろい
寂しい	lonely	さびしい
白い	white	しろい
若い	young	わかい
意地悪	mean-spirited	いじわる
踊る	to dance	おどる
終わる	(something) ends	おわる
人気がある	to be popular	にんきがある
始まる	(something) begins	はじまる
弾く	to play (a string instrument or piano)	ひく
もらう	to get (from somebody)	もらう
覚える	to memorize	おぼえる
出る	(1) to appear; to attend (2) to exit	でる
運動する	to do physical exercises	うんどうする
散歩する	to take a walk	さんぽする
～から　（七時から）	from …	～から
是非	by all means	ぜひ
ところで	by the way	ところで
みんな	all	みんな
もう	already	もう
一つ	one	ひとつ
二つ	two	ふたつ
三つ	three	みっつ
四つ	four	よっつ
五つ	five	いつつ
六つ	six	むっつ
七つ	seven	ななつ
八つ	eight	やっつ
九つ	nine	ここのつ
十	ten	とお
秋	fall	あき
駅	station	えき
お金持ち	rich person	おかねもち
顔	face	かお
季節	season	きせつ
牛乳	milk	ぎゅにゅう
クレジットカード	credit card	クレジットカード
ケーキ	cake	ケーキ
今年	this year	ことし
サッカー	soccer	サッカー
シャツ	shirt	シャツ
新幹線	Shinkansen; "Bullet Trail"	しんかんせん
寿司	sushi	すし
生活	life; living	せいかつ
世界	world	せかい
地下鉄	subway	ちかてつ
手袋	gloves	てぶくろ
天ぷら	tempura	てんぷら
床屋	barber's	とこや
春	spring	はる
パンツ	pants	パンツ
美容院	beauty parlor	びよういん
便	flight; trip (ie train trip)	びん
船	ship; boat	ふね
野球	baseball	やきゅう
有名人	celebrity	ゆうめいじん
予約	reservation	よやく
来学期	next semester	らいがっき
りんご	apple	りんご
暖かい	warm	あたたかい
遅い	slow; late	おそい
涼しい	cool (weather-not used for things)	すずしい
冷たい	cold (things/people)	つめたい
眠い	sleepy	ねむい
簡単	easy; simple	かんたん
かかる	to take (amount of time / money)	かかる
泊まる	to stay (at a hotel, etc.)	とまる
なる	to become	なる
払う	to pay	はらう
決める	to decide	きめる
旅行する	to travel	りょこうする
練習する	to practice	れんしゅうする
歩いて	on foot	あるいて
一番	best	いちばん
～か～	or	～か～
～ヶ月	for … months	～かげつ
～後	in … time; after …	～ご
この頃	these days	このごろ
～週間	for … weeks	～しゅうかん
～で	by (means of transportation); with (a tool)	～で
どうやって	how; by what means	どうやって
どちら	which	どちら
どっち	which	どっち
どの位	how much; how long	どのぐらい
～年	… years	～ねん
早く・速く	(do something) early; fast	はやく
お菓子	snack; sweets	おかし
お正月	New Year's	おしょうがつ
男の子	boy	おとこのこ
お祭り	festival	おまつり
おもちゃ	toy	おもちゃ
温泉	spa; hot spring	おんせん
女の子	girl	おんなのこ
外国	foreign country	がいこく
歌手	singer	かしゅ
川	river	かわ
キャンプ	camp	キャンプ
こちら　（こちらは智子さんです）	this person (polite)	こちら
今学期	this semester	こんがっき
社長	president of a company	しゃちょう
授業	class; lesson	じゅぎょう
将来	future	しょうらい
神社	shrine	じんじゃ
釣り	fishing	つり
ドライブ	drive	ドライブ
ビール	beer	ビール
美術館	art museum	びじゅつかん
ホストファミリー	host family	ホストファミリー
湖	lake	みずうみ
山	mountain	やま
夢	dream	ゆめ
ルームメート	roommate	ルームメート
嘘をつく	to tell a lie	うそをつく
お腹が空く	to become hungry	おなかがすく
飼う	to own (a pet)	かう
サボる	to cut classes	サボる
取る	to take (a class); to get (a grade)	とる
習う	to learn	ならう
登る	to climb	のぼる
働く	to work	はたらく
疲れる	to get tired	つかれる
やめる	to quit	やめる
喧嘩する	to have a fight; to quarrel	けんかする
紹介する	to introduce	しょうかいする
ダイエットする	to go on a diet	ダイエットする
遅刻する	to be late (for an appointment)	ちこくする
留学する	to study abroad	りゅうがくする
後　（の後）	after (an event)	あと
出身	coming from; person's origin	しゅっしん
そして	and then	そして
～だけ	just…; only…	～だけ
～点	… points	～てん
久しぶり	it has been a long time	ひさしぶり
まあまあ	okay; so-so	まあまあ
もっと	more	もっと
職業	occupation (job) (not shigoto)	しょくぎょう
作家	writer	さっか
ジャーナリスト	journalist	ジャーナリスト
警察官	police officer	けいさつかん
俳優	actor; actress	はいゆう
宇宙飛行士	astronaut	うちゅうひこうし
野球選手	baseball player	やきゅうせんしゅ
大統領	president of a country	だいとうりょう
女優	actress	じょゆう
看護師	nurse	かんごし
消防士	firefighter	しょうぼうし
漫画家	cartoonist	まんがか
足	leg; foot	あし
意味	meaning	いみ
お手洗い	restroom	おてあらい
お腹	stomach	おなか
風邪	cold (flu)	かぜ
彼女	her; girlfriend	かのじょ
彼	he; boyfriend	かれ
気温	temperature (weather-not used for things)	きおん
曇り	cloudy weather	くもり
試合	match; game	しあい
ジュース	juice	ジュース
成績	grade (on a test, etc.)	せいせき
咳	cough	せき
喉	throat	のど
歯	tooth	は
花	flower	はな
晴れ	sunny weather	はれ
服	clothes	ふく
二日酔い	hangover	ふつかよい
プレゼント	present (gift)	プレゼント
ホームシック	homesickness	ホームシック
物	thing (concrete object)	もの
雪	snow	ゆき
用事	business to take care of	ようじ
甘い	sweet	あまい
痛い	hurt; painful	いたい
多い	there are many...	おおい
狭い	narrow; not spacious	せまい
都合が悪い	inconvenient; to have a scheduling conflict	つごうがわるい
悪い	bad	わるい
素敵	nice	すてき
風邪を引く	to catch a cold	かぜをひく
興味がある	to be interested (in ...)	きょうみがある
無くす	to lose	なくす
喉が渇く	to become thirsty	のどがかわく
熱がある	to have a fever	ねつがある
咳が出る	to cough	せきがでる
別れる	to break up; to separate	わかれる
緊張する	to get nervous	きんちょうする
心配する	to worry	しんぱいする
お大事に	Get well soon.	おだいじに
元気がない	don't look well	げんきがない
多分	probably; maybe	たぶん
できるだけ	as much as possible	できるだけ
～でしょう	probably; …, right?	～でしょう
～度	… degrees (temperature)	～ど
二三日	for two to three days	にさんにち
初めて	for the first time	はじめて
もうすぐ	very soon; in a few moments/days	もうすぐ
ウェイター	waiter	ウェイター
お宅	(someone's) house/home	おたく
大人	adult	おとな
外国語	foreign language	がいこくご
楽器	musical instrument	がっき
空手	karate	からて
カレー	curry	カレー
着物	kimono; Japanese traditional dress	きもの
広告	advertisement	こうこく
紅茶	tea (black tea)	こうちゃ
言葉	language; dialect; manner of speaking; words	ことば
ゴルフ	golf	ゴルフ
セーター	sweater	セーター
象	elephant	ぞう
バイオリン	violin	バイオリン
バイク	motorbike	バイク
物価	prices of commodities; prices (in general); cost-of-living	ぶっか
文法	grammar	ぶんぽう
募集	recruitment	ぼしゅう
店	shop; store	みせ
やくざ	yakuza; gangster	やくざ
約束	promise; appointment	やくそく
レポート	(term) paper; report	レポート
私 (formal)	I (formal)	わたくし
嬉しい	glad	うれしい
悲しい	sad	かなしい
辛い	hot and spicy; salty	からい
厳しい	strict	きびしい
すごい	incredible; awesome	すごい
近い	close; near	ちかい
色々	various; different kinds of	いろいろ
幸せ	happy (lasting happiness)	しあわせ
駄目	no good	だめ
編む	to knit	あむ
貸す	to lend; to rent	かす
頑張る	to do one's best; to try hard	がんばる
泣く	to cry	なく
磨く	to brush (teeth); to polish	みがく
約束を守る	to keep a promise	やくそくをまもる
感動する	to be moved/touched (by ...)	かんどうする
いらっしゃいます	(someone honorable) is present/home	いらっしゃいます
～回	… times	～かい
～キロ	… kilometers; … kilograms	～キロ
実は	as a matter of fact, ...	じつは
全部	all; entire	ぜんぶ
～と申します	my name is…	～ともうします
一日	one day	いちにち
二日	two days	ふつか
三日	three days	みっか
四日	four days	よっか
五日	five days	いつか
六日	six days	むいか
七日	seven days	なのか
八日	eight days	ようか
九日	nine days	ここのか
十日	ten days	とおか
兄	(my) older brother	あに
大家さん	landlord	おおやさん
お返し	return (as a token of gratitude)	おかえし
奥さん	(your/his) wife	おくさん
おじさん	uncle; middle-aged man	おじさん
おばさん	aunt; middle-aged woman	おばさん
グラス	tumbler; glass	グラス
クリスマス	Christmas	クリスマス
ご主人	(your/her) husband	ごしゅじん
皿	plate; dish	さら
時間	time	じかん
チケット	ticket (not nihongo)	チケット
チョコレート	chocolate	チョコレート
トレーナー	sweat shirt	トレーナー
ぬいぐるみ	stuffed anime (e.g., teddy bear)	ぬいぐるみ
ネクタイ	necktie	ネクタイ
バレンタインデー	St. Valentine's Day	バレンタインデー
ビデオカメラ	video camera	ビデオカメラ
夫婦	married couple; husband and wife	ふうふ
ホワイトデー	"White Day" (yet another gift-giving day)	ホワイトデー
マフラー	winter scarf	マフラー
漫画	comic book	まんが
マンション	multistory apartment; condominium	マンション
みかん	mandarin orange	みかん
皆さん	everyone; all of you	みなさん
指輪	ring	ゆびわ
ラジオ	radio	ラジオ
両親	parents; both parents	りょうしん
履歴書	resume	りれきしょ
欲しい	to want	ほしい
けち	stingy; cheap	けち
送る	to send;&nbsp;to walk/drive (someone)	おくる
似合う	to look good (on somebody)	にあう
諦める	to give up	あきらめる
あげる	to give (to others)	あげる
くれる	to give (me)	くれる
できる	to come into existence; to be made	できる
相談する	to consult	そうだんする
プロポーズする	to propose marriage	プロポーズする
同じ	same	おなじ
～君	Mr./Ms…. (casual)	～くん
こんな～	… like this; this kind of…	こんな～
～達	[makes a noun plural]	～たち
私たち	we	わたしたち
ちょうど	exactly	ちょうど
どうしたらいい	what should one do	どうしたらいい
～個	[generic counter for smaller items]	～こ
～冊	[counter for bound volumes]	～さつ
～台	[counter for equipment]	～だい
～匹	[counter for smaller animals]	～ひき
～本	[counter for long objects]	～ぽん
インターネット	Internet	インターネット
絵	painting; picture; drawing	え
映画館	movie theater	えいがかん
外国人	foreigner	がいこくじん
家具	furniture	かぐ
クラブ	night club	クラブ
経験	experience	けいけん
結婚式	wedding	けっこんしき
地震	earthquake	じしん
締め切り	deadline	しめきり
ジャケット	jacket	ジャケット
習慣	custom; habit	しゅうかん
税金	tax	ぜいきん
卒業式	graduation ceremony	そつぎょうしき
そば	soba; Japanese buckwheat noodle	そば
地図	map	ちず
電池	battery	でんち
庭	garden	にわ
発表	presentation; announcement; expressing (one's opinion)	はっぴょう
番組	broadcast program	ばんぐみ
プール	swimming pool	プール
ペット	pet	ペット
保険	insurance	ほけん
予定	schedule; plan	よてい
旅館	Japanese inn	りょかん
割引券	discount coupon	わりびきけん
広い	spacious; wide	ひろい
売る	to sell	うる
下ろす	to withdraw (money)	おろす
描く	to draw; to paint	かく
探す	to search for; to look for	さがす
誘う	to invite	さそう
付き合う	(1) to date (someone) (2) to keep company	つきあう
着く	to arrive	つく
保険に入る	to buy insurance	ほけんにはいる
気をつける	to be cautious/careful	きをつける
調べる	to look into (a matter)	しらべる
見える	to be visible	みえる
観光する	to do sightseeing	かんこうする
する　（この車にする）	to decide on (an item)	する
卒業する	to graduate (from ...)	そつぎょうする
予約する	to reserve	よやくする
一日中	all day long	いちにちじゅう
～けど	…, but; …., so	～けど
最近	recently	さいきん
～目	-th	～め
もう一度	one more time	もういちど
駅員（さん）	station attendant	えきいん（さん）（さん）
大きさ	size	おおきさ
親	parent	おや
期末試験	final examination	きまつしけん
研究	research	けんきゅう
ごみ	garbage	ごみ
砂糖	sugar	さとう
奨学金	scholarship	しょうがくきん
親戚	relatives	しんせき
推薦状	letter of recommendation	すいせんじょう
大学院	graduate school	だいがくいん
台風	typhoon	たいふう
日	day	ひ
ファイル	file; portfolio	ファイル
道	way; road; directions	みち
目覚まし時計	alarm clock	めざましどけい
汚い	dirty	きたない
起こす	to wake (someone) up	おこす
おごる	to treat (someone) to a meal	おごる
落ち込む	to get depressed	おちこむ
困る	to have difficulty	こまる
出す	to take (something) out; to hand in (something)	だす
連れていく	to take (someone) to (a place)	つれていく
直す	to correct; to fix	なおす
道に迷う	to become lost; to lose one's way	みちにまよう
見つかる	to be found	みつかる
迎えに行く	to go to pick up	むかえにいく
訳す	to translate	やくす
笑う	to laugh	わらう
アイロンをかける	to iron (clothes)	アイロンをかける
集める	to collect	あつめる
入れる	to put (something) in	いれる
乗り遅れる	to miss (a train, bus, etc.)	のりおくれる
見せる	to show; to display	みせる
朝寝坊する	to oversleep	あさねぼうする
案内する	to show (someone) around	あんないする
説明する	to explain	せつめいする
迎えに来る	to come to pick up	むかえにくる
ええと	well...; let me see...	ええと
今日中に	by the end of today	きょうじゅうに
この間	the other day	このあいだ
このぐらい	about this much	このぐらい
ごめん	I'm sorry. (casual)	ごめん
これから	from now on	これから
失礼します	Excuse me..; Sorry to interrupt you. (discourtesy)	しつれいします
自分で	(do something) oneself	じぶんで
授業中に	in class; during the class	じゅぎょうちゅうに
他の	other	ほかの
お客さん	guest; visitor; client; customer	おきゃくさん
男	man	おとこ
お湯	hot water	おゆ
女	woman	おんな
鍵	lock; key	かぎ
火事	fire	かじ
紙	paper	かみ
給料	salary	きゅうりょう
コンタクト	contact lenses	コンタクト
最低	the lowest; the worst	さいてい
サラリーマン	salaryman; company employee	サラリーマン
残業	overtime work	ざんぎょう
首相	prime minister	しゅしょう
